dataset,task,algo,buildtime,querytime,params,file,software,ram-process-max,ram-system-max,cpu-process-max,cpu-system-max,process-wallclock,recall_description,recall
llama-eval,task2,falconn_ouroboros_recall_guarantee,0.265629936,5.078382832,"l=6,hash_bits=16,probes=390,patience=3,k=30,rotations=1",,"{""display_name"": ""messy-squash"", ""command"": ""/app/ouroboros_submit --input $inputDataset/*.h5 --task-description $inputDataset/config.json --output $outputDir"", ""vm_id"": ""crusty-coders"", ""description"": """", ""source_code_active_branch"": ""main"", ""source_code_commit"": ""8555408c99605b00f30dc92cf4016d082f6f3a7d"", ""source_code_remotes"": [{""display_name"": ""origin"", ""name"": ""https://github.com/MetricSearch/sisap_challenge_2026"", ""href"": ""https://github.com/MetricSearch/sisap_challenge_2026/tree/8555408c99605b00f30dc92cf4016d082f6f3a7d""}], ""public_image_name"": null, ""mount_config"": null}",8232,332026,10,17,84380 ms,"Ok, Results shape (1000, 30): assumed no self-loops, comparing columns [0:30]",0.7890333333333334
llama-eval,task2,falconn_ouroboros_recall_guarantee,0.265629936,6.679900942,"l=6,hash_bits=16,probes=650,patience=3,k=30,rotations=1",,"{""display_name"": ""messy-squash"", ""command"": ""/app/ouroboros_submit --input $inputDataset/*.h5 --task-description $inputDataset/config.json --output $outputDir"", ""vm_id"": ""crusty-coders"", ""description"": """", ""source_code_active_branch"": ""main"", ""source_code_commit"": ""8555408c99605b00f30dc92cf4016d082f6f3a7d"", ""source_code_remotes"": [{""display_name"": ""origin"", ""name"": ""https://github.com/MetricSearch/sisap_challenge_2026"", ""href"": ""https://github.com/MetricSearch/sisap_challenge_2026/tree/8555408c99605b00f30dc92cf4016d082f6f3a7d""}], ""public_image_name"": null, ""mount_config"": null}",8232,332026,10,17,84380 ms,"Ok, Results shape (1000, 30): assumed no self-loops, comparing columns [0:30]",0.8767
llama-eval,task2,falconn_ouroboros_recall_guarantee,0.265629936,6.271741533,"l=6,hash_bits=16,probes=550,patience=5,k=30,rotations=1",,"{""display_name"": ""messy-squash"", ""command"": ""/app/ouroboros_submit --input $inputDataset/*.h5 --task-description $inputDataset/config.json --output $outputDir"", ""vm_id"": ""crusty-coders"", ""description"": """", ""source_code_active_branch"": ""main"", ""source_code_commit"": ""8555408c99605b00f30dc92cf4016d082f6f3a7d"", ""source_code_remotes"": [{""display_name"": ""origin"", ""name"": ""https://github.com/MetricSearch/sisap_challenge_2026"", ""href"": ""https://github.com/MetricSearch/sisap_challenge_2026/tree/8555408c99605b00f30dc92cf4016d082f6f3a7d""}], ""public_image_name"": null, ""mount_config"": null}",8232,332026,10,17,84380 ms,"Ok, Results shape (1000, 30): assumed no self-loops, comparing columns [0:30]",0.8594666666666667
llama-eval,task2,falconn_ouroboros_recall_guarantee,0.265629936,5.279084532,"l=6,hash_bits=16,probes=390,patience=5,k=30,rotations=1",,"{""display_name"": ""messy-squash"", ""command"": ""/app/ouroboros_submit --input $inputDataset/*.h5 --task-description $inputDataset/config.json --output $outputDir"", ""vm_id"": ""crusty-coders"", ""description"": """", ""source_code_active_branch"": ""main"", ""source_code_commit"": ""8555408c99605b00f30dc92cf4016d082f6f3a7d"", ""source_code_remotes"": [{""display_name"": ""origin"", ""name"": ""https://github.com/MetricSearch/sisap_challenge_2026"", ""href"": ""https://github.com/MetricSearch/sisap_challenge_2026/tree/8555408c99605b00f30dc92cf4016d082f6f3a7d""}], ""public_image_name"": null, ""mount_config"": null}",8232,332026,10,17,84380 ms,"Ok, Results shape (1000, 30): assumed no self-loops, comparing columns [0:30]",0.7923
llama-eval,task2,falconn_ouroboros_recall_guarantee,0.265629936,4.784081664,"l=6,hash_bits=16,probes=500,patience=1,k=30,rotations=1",,"{""display_name"": ""messy-squash"", ""command"": ""/app/ouroboros_submit --input $inputDataset/*.h5 --task-description $inputDataset/config.json --output $outputDir"", ""vm_id"": ""crusty-coders"", ""description"": """", ""source_code_active_branch"": ""main"", ""source_code_commit"": ""8555408c99605b00f30dc92cf4016d082f6f3a7d"", ""source_code_remotes"": [{""display_name"": ""origin"", ""name"": ""https://github.com/MetricSearch/sisap_challenge_2026"", ""href"": ""https://github.com/MetricSearch/sisap_challenge_2026/tree/8555408c99605b00f30dc92cf4016d082f6f3a7d""}], ""public_image_name"": null, ""mount_config"": null}",8232,332026,10,17,84380 ms,"Ok, Results shape (1000, 30): assumed no self-loops, comparing columns [0:30]",0.8164333333333333
llama-eval,task2,falconn_ouroboros_recall_guarantee,0.265629936,4.570308086,"l=6,hash_bits=16,probes=390,patience=1,k=30,rotations=1",,"{""display_name"": ""messy-squash"", ""command"": ""/app/ouroboros_submit --input $inputDataset/*.h5 --task-description $inputDataset/config.json --output $outputDir"", ""vm_id"": ""crusty-coders"", ""description"": """", ""source_code_active_branch"": ""main"", ""source_code_commit"": ""8555408c99605b00f30dc92cf4016d082f6f3a7d"", ""source_code_remotes"": [{""display_name"": ""origin"", ""name"": ""https://github.com/MetricSearch/sisap_challenge_2026"", ""href"": ""https://github.com/MetricSearch/sisap_challenge_2026/tree/8555408c99605b00f30dc92cf4016d082f6f3a7d""}], ""public_image_name"": null, ""mount_config"": null}",8232,332026,10,17,84380 ms,"Ok, Results shape (1000, 30): assumed no self-loops, comparing columns [0:30]",0.7679333333333334
llama-eval,task2,falconn_ouroboros_recall_guarantee,0.265629936,5.581723408,"l=6,hash_bits=16,probes=650,patience=1,k=30,rotations=1",,"{""display_name"": ""messy-squash"", ""command"": ""/app/ouroboros_submit --input $inputDataset/*.h5 --task-description $inputDataset/config.json --output $outputDir"", ""vm_id"": ""crusty-coders"", ""description"": """", ""source_code_active_branch"": ""main"", ""source_code_commit"": ""8555408c99605b00f30dc92cf4016d082f6f3a7d"", ""source_code_remotes"": [{""display_name"": ""origin"", ""name"": ""https://github.com/MetricSearch/sisap_challenge_2026"", ""href"": ""https://github.com/MetricSearch/sisap_challenge_2026/tree/8555408c99605b00f30dc92cf4016d082f6f3a7d""}], ""public_image_name"": null, ""mount_config"": null}",8232,332026,10,17,84380 ms,"Ok, Results shape (1000, 30): assumed no self-loops, comparing columns [0:30]",0.8587666666666667
llama-eval,task2,falconn_ouroboros_recall_guarantee,0.265629936,5.075589973,"l=6,hash_bits=16,probes=331,patience=5,k=30,rotations=1",,"{""display_name"": ""messy-squash"", ""command"": ""/app/ouroboros_submit --input $inputDataset/*.h5 --task-description $inputDataset/config.json --output $outputDir"", ""vm_id"": ""crusty-coders"", ""description"": """", ""source_code_active_branch"": ""main"", ""source_code_commit"": ""8555408c99605b00f30dc92cf4016d082f6f3a7d"", ""source_code_remotes"": [{""display_name"": ""origin"", ""name"": ""https://github.com/MetricSearch/sisap_challenge_2026"", ""href"": ""https://github.com/MetricSearch/sisap_challenge_2026/tree/8555408c99605b00f30dc92cf4016d082f6f3a7d""}], ""public_image_name"": null, ""mount_config"": null}",8232,332026,10,17,84380 ms,"Ok, Results shape (1000, 30): assumed no self-loops, comparing columns [0:30]",0.7513333333333333
llama-eval,task2,falconn_ouroboros_recall_guarantee,0.265629936,7.47148061,"l=6,hash_bits=16,probes=750,patience=6,k=30,rotations=1",,"{""display_name"": ""messy-squash"", ""command"": ""/app/ouroboros_submit --input $inputDataset/*.h5 --task-description $inputDataset/config.json --output $outputDir"", ""vm_id"": ""crusty-coders"", ""description"": """", ""source_code_active_branch"": ""main"", ""source_code_commit"": ""8555408c99605b00f30dc92cf4016d082f6f3a7d"", ""source_code_remotes"": [{""display_name"": ""origin"", ""name"": ""https://github.com/MetricSearch/sisap_challenge_2026"", ""href"": ""https://github.com/MetricSearch/sisap_challenge_2026/tree/8555408c99605b00f30dc92cf4016d082f6f3a7d""}], ""public_image_name"": null, ""mount_config"": null}",8232,332026,10,17,84380 ms,"Ok, Results shape (1000, 30): assumed no self-loops, comparing columns [0:30]",0.8972333333333333
llama-eval,task2,falconn_ouroboros_recall_guarantee,0.265629936,5.382076676,"l=6,hash_bits=16,probes=450,patience=3,k=30,rotations=1",,"{""display_name"": ""messy-squash"", ""command"": ""/app/ouroboros_submit --input $inputDataset/*.h5 --task-description $inputDataset/config.json --output $outputDir"", ""vm_id"": ""crusty-coders"", ""description"": """", ""source_code_active_branch"": ""main"", ""source_code_commit"": ""8555408c99605b00f30dc92cf4016d082f6f3a7d"", ""source_code_remotes"": [{""display_name"": ""origin"", ""name"": ""https://github.com/MetricSearch/sisap_challenge_2026"", ""href"": ""https://github.com/MetricSearch/sisap_challenge_2026/tree/8555408c99605b00f30dc92cf4016d082f6f3a7d""}], ""public_image_name"": null, ""mount_config"": null}",8232,332026,10,17,84380 ms,"Ok, Results shape (1000, 30): assumed no self-loops, comparing columns [0:30]",0.8208666666666666
llama-eval,task2,falconn_ouroboros_recall_guarantee,0.265629936,4.988959581,"l=6,hash_bits=16,probes=331,patience=3,k=30,rotations=1",,"{""display_name"": ""messy-squash"", ""command"": ""/app/ouroboros_submit --input $inputDataset/*.h5 --task-description $inputDataset/config.json --output $outputDir"", ""vm_id"": ""crusty-coders"", ""description"": """", ""source_code_active_branch"": ""main"", ""source_code_commit"": ""8555408c99605b00f30dc92cf4016d082f6f3a7d"", ""source_code_remotes"": [{""display_name"": ""origin"", ""name"": ""https://github.com/MetricSearch/sisap_challenge_2026"", ""href"": ""https://github.com/MetricSearch/sisap_challenge_2026/tree/8555408c99605b00f30dc92cf4016d082f6f3a7d""}], ""public_image_name"": null, ""mount_config"": null}",8232,332026,10,17,84380 ms,"Ok, Results shape (1000, 30): assumed no self-loops, comparing columns [0:30]",0.7466666666666667
llama-eval,task2,falconn_ouroboros_recall_guarantee,0.265629936,4.485385622,"l=6,hash_bits=16,probes=450,patience=1,k=30,rotations=1",,"{""display_name"": ""messy-squash"", ""command"": ""/app/ouroboros_submit --input $inputDataset/*.h5 --task-description $inputDataset/config.json --output $outputDir"", ""vm_id"": ""crusty-coders"", ""description"": """", ""source_code_active_branch"": ""main"", ""source_code_commit"": ""8555408c99605b00f30dc92cf4016d082f6f3a7d"", ""source_code_remotes"": [{""display_name"": ""origin"", ""name"": ""https://github.com/MetricSearch/sisap_challenge_2026"", ""href"": ""https://github.com/MetricSearch/sisap_challenge_2026/tree/8555408c99605b00f30dc92cf4016d082f6f3a7d""}], ""public_image_name"": null, ""mount_config"": null}",8232,332026,10,17,84380 ms,"Ok, Results shape (1000, 30): assumed no self-loops, comparing columns [0:30]",0.7999
llama-eval,task2,falconn_ouroboros_recall_guarantee,0.265629936,4.230127888,"l=6,hash_bits=16,probes=331,patience=1,k=30,rotations=1",,"{""display_name"": ""messy-squash"", ""command"": ""/app/ouroboros_submit --input $inputDataset/*.h5 --task-description $inputDataset/config.json --output $outputDir"", ""vm_id"": ""crusty-coders"", ""description"": """", ""source_code_active_branch"": ""main"", ""source_code_commit"": ""8555408c99605b00f30dc92cf4016d082f6f3a7d"", ""source_code_remotes"": [{""display_name"": ""origin"", ""name"": ""https://github.com/MetricSearch/sisap_challenge_2026"", ""href"": ""https://github.com/MetricSearch/sisap_challenge_2026/tree/8555408c99605b00f30dc92cf4016d082f6f3a7d""}], ""public_image_name"": null, ""mount_config"": null}",8232,332026,10,17,84380 ms,"Ok, Results shape (1000, 30): assumed no self-loops, comparing columns [0:30]",0.7271333333333333
llama-eval,task2,deglib,85.72650146484375,0.07903403788805008,"mode=mode7,k_graph=32,k_ext=64,flas=1,num_runs=10,eps_search=0.007,max_dist=6000",,"{""display_name"": ""inflammable-weapon"", ""command"": ""python3 /app/search.py --input $inputDataset/*.h5 --task-description $inputDataset/config.json --output $outputDir"", ""vm_id"": ""deglib"", ""description"": """", ""source_code_active_branch"": ""master"", ""source_code_commit"": ""62a4c34a82c5f717919a9f6760d4e58a4225c3eb"", ""source_code_remotes"": [{""display_name"": ""origin"", ""name"": ""git@github.com:Visual-Computing/sisap26-deglib.git"", ""href"": ""https://github.com/Visual-Computing/sisap26-deglib/tree/62a4c34a82c5f717919a9f6760d4e58a4225c3eb""}], ""public_image_name"": null, ""mount_config"": null}",6103,333906,10,65,178554 ms,"Ok, Results shape (1000, 30): assumed no self-loops, comparing columns [0:30]",0.7952
llama-eval,task2,deglib,85.72650146484375,0.08052155375480652,"mode=mode7,k_graph=32,k_ext=64,flas=1,num_runs=10,eps_search=0.007,max_dist=7000",,"{""display_name"": ""inflammable-weapon"", ""command"": ""python3 /app/search.py --input $inputDataset/*.h5 --task-description $inputDataset/config.json --output $outputDir"", ""vm_id"": ""deglib"", ""description"": """", ""source_code_active_branch"": ""master"", ""source_code_commit"": ""62a4c34a82c5f717919a9f6760d4e58a4225c3eb"", ""source_code_remotes"": [{""display_name"": ""origin"", ""name"": ""git@github.com:Visual-Computing/sisap26-deglib.git"", ""href"": ""https://github.com/Visual-Computing/sisap26-deglib/tree/62a4c34a82c5f717919a9f6760d4e58a4225c3eb""}], ""public_image_name"": null, ""mount_config"": null}",6103,333906,10,65,178554 ms,"Ok, Results shape (1000, 30): assumed no self-loops, comparing columns [0:30]",0.8169333333333333
llama-eval,task2,deglib,85.72650146484375,0.0788097232580185,"mode=mode7,k_graph=32,k_ext=64,flas=1,num_runs=10,eps_search=0.007,max_dist=6750",,"{""display_name"": ""inflammable-weapon"", ""command"": ""python3 /app/search.py --input $inputDataset/*.h5 --task-description $inputDataset/config.json --output $outputDir"", ""vm_id"": ""deglib"", ""description"": """", ""source_code_active_branch"": ""master"", ""source_code_commit"": ""62a4c34a82c5f717919a9f6760d4e58a4225c3eb"", ""source_code_remotes"": [{""display_name"": ""origin"", ""name"": ""git@github.com:Visual-Computing/sisap26-deglib.git"", ""href"": ""https://github.com/Visual-Computing/sisap26-deglib/tree/62a4c34a82c5f717919a9f6760d4e58a4225c3eb""}], ""public_image_name"": null, ""mount_config"": null}",6103,333906,10,65,178554 ms,"Ok, Results shape (1000, 30): assumed no self-loops, comparing columns [0:30]",0.8119333333333333
llama-eval,task2,deglib,82.11388397216797,0.051576558500528336,"mode=mode5,k_graph=32,k_ext=64,flas=1,num_runs=10,eps_search=0.18,max_dist=6500",,"{""display_name"": ""inflammable-weapon"", ""command"": ""python3 /app/search.py --input $inputDataset/*.h5 --task-description $inputDataset/config.json --output $outputDir"", ""vm_id"": ""deglib"", ""description"": """", ""source_code_active_branch"": ""master"", ""source_code_commit"": ""62a4c34a82c5f717919a9f6760d4e58a4225c3eb"", ""source_code_remotes"": [{""display_name"": ""origin"", ""name"": ""git@github.com:Visual-Computing/sisap26-deglib.git"", ""href"": ""https://github.com/Visual-Computing/sisap26-deglib/tree/62a4c34a82c5f717919a9f6760d4e58a4225c3eb""}], ""public_image_name"": null, ""mount_config"": null}",6103,333906,10,65,178554 ms,"Ok, Results shape (1000, 30): assumed no self-loops, comparing columns [0:30]",0.7987
llama-eval,task2,deglib,85.72650146484375,0.05238271877169609,"mode=mode7,k_graph=32,k_ext=64,flas=1,num_runs=10,eps_search=0.007,max_dist=5500",,"{""display_name"": ""inflammable-weapon"", ""command"": ""python3 /app/search.py --input $inputDataset/*.h5 --task-description $inputDataset/config.json --output $outputDir"", ""vm_id"": ""deglib"", ""description"": """", ""source_code_active_branch"": ""master"", ""source_code_commit"": ""62a4c34a82c5f717919a9f6760d4e58a4225c3eb"", ""source_code_remotes"": [{""display_name"": ""origin"", ""name"": ""git@github.com:Visual-Computing/sisap26-deglib.git"", ""href"": ""https://github.com/Visual-Computing/sisap26-deglib/tree/62a4c34a82c5f717919a9f6760d4e58a4225c3eb""}], ""public_image_name"": null, ""mount_config"": null}",6103,333906,10,65,178554 ms,"Ok, Results shape (1000, 30): assumed no self-loops, comparing columns [0:30]",0.7818333333333334
llama-eval,task2,deglib,82.11388397216797,0.08035046607255936,"mode=mode5,k_graph=32,k_ext=64,flas=1,num_runs=10,eps_search=0.18,max_dist=8000",,"{""display_name"": ""inflammable-weapon"", ""command"": ""python3 /app/search.py --input $inputDataset/*.h5 --task-description $inputDataset/config.json --output $outputDir"", ""vm_id"": ""deglib"", ""description"": """", ""source_code_active_branch"": ""master"", ""source_code_commit"": ""62a4c34a82c5f717919a9f6760d4e58a4225c3eb"", ""source_code_remotes"": [{""display_name"": ""origin"", ""name"": ""git@github.com:Visual-Computing/sisap26-deglib.git"", ""href"": ""https://github.com/Visual-Computing/sisap26-deglib/tree/62a4c34a82c5f717919a9f6760d4e58a4225c3eb""}], ""public_image_name"": null, ""mount_config"": null}",6103,333906,10,65,178554 ms,"Ok, Results shape (1000, 30): assumed no self-loops, comparing columns [0:30]",0.8212333333333334
llama-eval,task2,deglib,85.72650146484375,0.08958663046360016,"mode=mode7,k_graph=32,k_ext=64,flas=1,num_runs=10,eps_search=0.007,max_dist=8000",,"{""display_name"": ""inflammable-weapon"", ""command"": ""python3 /app/search.py --input $inputDataset/*.h5 --task-description $inputDataset/config.json --output $outputDir"", ""vm_id"": ""deglib"", ""description"": """", ""source_code_active_branch"": ""master"", ""source_code_commit"": ""62a4c34a82c5f717919a9f6760d4e58a4225c3eb"", ""source_code_remotes"": [{""display_name"": ""origin"", ""name"": ""git@github.com:Visual-Computing/sisap26-deglib.git"", ""href"": ""https://github.com/Visual-Computing/sisap26-deglib/tree/62a4c34a82c5f717919a9f6760d4e58a4225c3eb""}], ""public_image_name"": null, ""mount_config"": null}",6103,333906,10,65,178554 ms,"Ok, Results shape (1000, 30): assumed no self-loops, comparing columns [0:30]",0.8306333333333333
llama-eval,task2,deglib,82.11388397216797,0.07021601498126984,"mode=mode5,k_graph=32,k_ext=64,flas=1,num_runs=10,eps_search=0.18,max_dist=7500",,"{""display_name"": ""inflammable-weapon"", ""command"": ""python3 /app/search.py --input $inputDataset/*.h5 --task-description $inputDataset/config.json --output $outputDir"", ""vm_id"": ""deglib"", ""description"": """", ""source_code_active_branch"": ""master"", ""source_code_commit"": ""62a4c34a82c5f717919a9f6760d4e58a4225c3eb"", ""source_code_remotes"": [{""display_name"": ""origin"", ""name"": ""git@github.com:Visual-Computing/sisap26-deglib.git"", ""href"": ""https://github.com/Visual-Computing/sisap26-deglib/tree/62a4c34a82c5f717919a9f6760d4e58a4225c3eb""}], ""public_image_name"": null, ""mount_config"": null}",6103,333906,10,65,178554 ms,"Ok, Results shape (1000, 30): assumed no self-loops, comparing columns [0:30]",0.8157
llama-eval,task2,deglib,82.11388397216797,0.08984110504388809,"mode=mode5,k_graph=32,k_ext=64,flas=1,num_runs=10,eps_search=0.18,max_dist=9000",,"{""display_name"": ""inflammable-weapon"", ""command"": ""python3 /app/search.py --input $inputDataset/*.h5 --task-description $inputDataset/config.json --output $outputDir"", ""vm_id"": ""deglib"", ""description"": """", ""source_code_active_branch"": ""master"", ""source_code_commit"": ""62a4c34a82c5f717919a9f6760d4e58a4225c3eb"", ""source_code_remotes"": [{""display_name"": ""origin"", ""name"": ""git@github.com:Visual-Computing/sisap26-deglib.git"", ""href"": ""https://github.com/Visual-Computing/sisap26-deglib/tree/62a4c34a82c5f717919a9f6760d4e58a4225c3eb""}], ""public_image_name"": null, ""mount_config"": null}",6103,333906,10,65,178554 ms,"Ok, Results shape (1000, 30): assumed no self-loops, comparing columns [0:30]",0.8311
